,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1900,5166304.730000,3464655.100000,1164030.540000,87236.660000,1167281.360000,4957968.290000,3258303.010000,2240469.930000,2221587.180000,2106148.610000,2827345.800000
1901,7853856.918000,4410618.846000,1383313.415000,113584.935300,1136421.238000,5266197.244000,4102617.770000,1921895.169000,2176100.454000,2777536.664000,3935554.732000
1902,5359892.186000,4163286.322000,1151772.462000,99334.058000,1058166.464000,4498398.216000,3543257.990000,2477971.859000,2718842.156000,2651949.016000,3492006.139000
1903,6029866.813000,4011371.743000,1215786.616000,79380.717230,1135727.523000,4632448.615000,3880009.144000,2056200.510000,2292240.785000,2405136.250000,2432277.033000
1904,5433803.460000,4242282.760000,1330892.209000,74902.572120,1230257.485000,4668686.224000,4706205.720000,2605836.958000,2499577.768000,2690163.478000,2318765.221000
1905,5934118.032000,4141531.815000,1185638.293000,78090.098780,1060482.780000,4958095.851000,4219268.382000,2665320.947000,2805462.665000,2478614.813000,1823754.520000
1906,5521409.285000,3059891.321000,1212966.733000,65552.218870,1209203.007000,5385504.484000,3926747.415000,2725608.052000,3023675.527000,2662454.915000,1468763.284000
1907,5354747.772000,3066853.035000,1299277.434000,79389.705410,1277458.667000,4944106.426000,3845755.158000,3701549.035000,3526526.015000,3365534.028000,856651.535900
1908,5224853.704000,2405851.946000,1268169.278000,93235.237510,1419938.679000,4613962.130000,3764881.907000,3137227.510000,2893548.820000,3014195.491000,784148.036100
1909,6507077.926000,2385195.588000,1315860.194000,129693.853600,1216874.400000,4793459.184000,3807772.650000,3964467.822000,4173640.468000,2348303.253000,813736.600600
1910,4902876.175000,1983461.076000,1148785.277000,138556.820700,1488156.262000,5016092.247000,4047388.618000,3821658.996000,3357380.966000,2752422.498000,534333.686400
1911,5010093.558000,2346273.627000,1245560.892000,146715.516100,1196086.926000,4570406.809000,4933431.213000,3348819.191000,3449202.024000,2916898.331000,493946.225300
1912,4418329.610000,3636812.696000,1092493.315000,109597.631900,1729196.689000,4677430.651000,3688479.761000,5153852.807000,2923792.567000,2602993.302000,428903.742400
1913,4887676.800000,3090946.555000,1152812.435000,96180.016170,1712962.627000,4673651.798000,3962650.907000,3592485.486000,3691222.659000,3297299.810000,444874.816300
1914,4541535.127000,3158393.043000,1163693.119000,56647.980720,1671440.904000,4905534.476000,4685083.046000,4000753.460000,3483627.458000,3069859.210000,346661.880400
1915,3881298.038000,3273421.077000,1190394.488000,112769.466800,1314211.591000,5694775.584000,4406821.413000,5099765.107000,3735490.546000,3352761.485000,327061.321300
1916,5733892.731000,4497452.165000,1310066.123000,451063.880500,1638479.890000,4689352.537000,4803988.561000,3795843.448000,3116161.681000,2987584.316000,233099.073100
1917,4712014.642000,4138690.877000,1017310.928000,520774.845400,1510191.660000,5157187.766000,5284581.991000,4240499.231000,3557500.138000,3178735.877000,266621.061000
1918,5553658.542000,3381191.455000,1203523.638000,536439.771800,1645979.535000,5224788.391000,5539322.985000,4426239.992000,3691810.491000,3013510.907000,275232.746200
1919,5451589.058000,4818339.316000,1118014.616000,611563.229300,1753296.173000,4877269.227000,5122792.139000,4376902.403000,3100603.882000,2807096.593000,299900.572400
1920,6081984.815000,6350762.799000,1154524.590000,636131.632600,1761960.804000,4755214.716000,5223558.770000,4342524.254000,3585582.166000,3242516.299000,316673.380200
1921,7195378.772000,6096126.985000,1083841.615000,348491.247500,1686866.229000,3961194.865000,4643404.543000,3505055.382000,3401493.979000,2583552.143000,337217.013100
1922,6732108.389000,4409297.130000,1076417.887000,262197.131300,1444019.861000,3958725.645000,4335677.467000,3358195.763000,4120866.998000,2955798.715000,283654.211600
1923,6739127.617000,3535783.030000,1187609.304000,213508.212900,1585328.119000,4432591.845000,4314781.954000,2755977.407000,4245763.539000,3381521.431000,377706.754400
1924,6704946.277000,4511605.668000,1093780.039000,176787.646900,1724420.490000,4259479.049000,4206974.633000,2276277.277000,4221013.124000,3040421.871000,468876.707800
1925,6814017.697000,4242982.054000,1162830.247000,198299.089500,1805237.021000,4497928.318000,3877312.364000,2130670.257000,4451821.616000,3151137.752000,463281.398700
1926,6269595.764000,3007132.592000,1070051.014000,222535.469400,1620527.412000,3732009.094000,4557088.075000,2488123.578000,4176543.829000,3326870.471000,453680.468500
1927,6221726.032000,4000809.121000,1035410.320000,249268.947300,1818873.116000,5156012.414000,5066263.632000,2365469.810000,4099772.478000,3632414.225000,547529.622100
1928,7121311.344000,5808957.861000,1285818.984000,247114.372600,1587920.852000,4395961.992000,4161677.708000,1641321.617000,3988512.256000,3285065.325000,610763.653300
1929,5799258.239000,4497273.708000,1004049.180000,290574.471400,1650999.641000,4675523.757000,4282141.585000,1781466.749000,4023464.734000,3574881.021000,605982.425200
1930,5612364.996000,4289419.673000,1211704.748000,328923.831200,1657954.802000,4090742.001000,4197953.118000,1598858.667000,4058446.041000,2849896.750000,766468.188100
1931,4684198.201000,6072218.019000,1206548.539000,523053.611400,1485976.439000,4368540.344000,4163374.060000,1363424.991000,3557912.306000,3132906.796000,774008.589700
1932,5136203.513000,5055017.369000,1266582.509000,501307.779100,1701053.340000,4053596.523000,4396232.093000,1551923.990000,4261947.902000,2880865.697000,692112.758600
1933,5140412.973000,5202932.498000,1077043.428000,742749.518600,1360913.126000,4578662.835000,5140553.999000,1348461.331000,4104258.035000,2946295.847000,636500.319300
1934,4527530.349000,3628352.608000,1281368.237000,751024.307700,1308657.523000,4596814.751000,4995435.388000,1583262.970000,4161432.357000,3095462.483000,814757.693600
1935,4605012.055000,4391107.734000,1206337.578000,958280.298500,1407239.040000,5428425.958000,5663338.545000,1459500.931000,3925597.794000,3429087.643000,709484.898700
1936,5699027.643000,4953210.043000,951215.052500,551446.797000,1598758.868000,4122316.756000,5224629.877000,1517999.744000,4069605.274000,3241584.405000,751915.907100
1937,5806851.816000,4095010.804000,1287818.779000,529383.042600,1493556.727000,4726233.385000,6601395.021000,1128863.382000,3634099.916000,3519060.108000,710665.930900
1938,7335717.615000,3200682.671000,928694.286200,343162.334200,1863055.853000,4602482.942000,5485468.976000,1484030.127000,3799718.135000,3417603.380000,652672.244700
1939,6895626.278000,4729671.360000,1141767.022000,323946.155400,1539732.503000,6066523.477000,5589744.397000,1448651.216000,3623061.185000,3237189.306000,751686.609200
1940,7205917.667000,4098613.994000,1106921.808000,340225.944500,1728069.035000,4811686.092000,4490797.760000,1798545.607000,4045245.283000,2910328.605000,729458.876200
1941,8357333.137000,3738777.440000,1029648.159000,368303.745100,1980660.798000,4658269.550000,5933192.285000,1626418.939000,3693153.194000,2739379.041000,982461.996700
