,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1900,1050685.33,382228.08,21095.35,25756.75,0.00,203667.14,1866905.54,23100.48,0.00,69183.66,769977.06
1901,1029621.56,394745.79,20898.86,24302.96,0.00,203104.10,1796813.21,25450.12,0.00,70342.77,640978.90
1902,1025874.33,424595.93,21644.67,22359.37,0.00,198753.69,1857104.62,26484.73,0.00,72492.60,531937.03
1903,1456203.82,1322147.15,32345.80,18258.20,0.00,158545.53,1733569.40,14650.96,0.00,44686.20,662963.37
1904,1025685.12,1376640.05,31840.92,14891.79,0.00,163967.00,2107105.68,16641.99,0.00,47135.80,515273.34
1905,1014273.90,1517303.83,31888.57,18380.22,0.00,151943.32,1648961.77,17988.01,0.00,45754.19,370725.14
1906,1068530.65,872824.72,31187.28,29721.03,0.00,148892.26,1484274.07,19290.71,0.00,45711.87,357250.12
1907,1098066.90,892096.95,30853.84,34747.90,0.00,138328.48,1467753.10,20509.28,0.00,45918.75,217776.42
1908,1361064.35,496082.54,30900.39,44281.20,0.00,152024.43,1579113.59,21613.98,0.00,45702.55,125572.06
1909,1115600.30,1576.76,30056.42,59787.98,0.00,172579.10,2131581.86,22337.61,0.00,44687.12,154310.04
1910,1067912.00,0.00,31549.85,34847.02,0.00,170505.56,2137523.30,182581.66,0.00,45176.51,162489.58
1911,1208141.55,0.00,30979.92,21809.33,0.00,155306.35,1638001.33,128839.26,0.00,45595.87,154980.52
1912,1003795.99,0.00,30517.55,19717.29,0.00,171594.92,1061621.53,100166.69,0.00,48097.69,111211.69
1913,545286.49,709957.57,30553.68,73734.36,0.00,183770.18,1082606.66,96477.43,0.00,47391.00,90545.88
1914,698680.36,698413.41,32619.98,130629.44,0.00,230977.59,1509256.25,112466.99,0.00,47513.81,80570.70
1915,763692.72,426409.36,35963.13,128993.29,0.00,272651.92,1363926.73,196619.91,0.00,47614.17,87939.16
1916,769582.04,1189.23,23624.16,173473.20,0.00,300698.86,2032395.83,296583.89,0.00,98284.85,90978.20
1917,906652.53,0.00,27780.01,154787.78,0.00,279589.90,2207840.52,462731.54,0.00,86783.78,87165.09
1918,1003743.00,0.00,32030.90,172746.15,0.00,218760.84,2217012.94,580251.81,0.00,68411.26,78873.58
1919,747001.55,10280.10,20295.83,137956.51,0.00,224181.59,2342243.61,636600.35,0.00,36777.09,70537.80
1920,1083067.66,13100.78,25363.05,89142.93,0.00,260925.04,2166255.27,567959.50,0.00,35146.09,74305.79
1921,1120918.31,216818.98,41594.13,59563.67,0.00,221975.41,1923846.33,535694.40,0.00,56860.04,78868.32
1922,1154323.82,646316.16,29612.21,57506.36,0.00,257267.23,1686941.37,462115.25,0.00,40711.22,78886.27
1923,1172886.55,427271.74,34079.15,60107.49,0.00,278750.56,1434038.35,281844.86,0.00,34907.39,82625.84
1924,883622.60,670509.86,27088.14,61403.77,0.00,275125.19,1608806.65,273179.62,0.00,65381.63,95106.38
1925,1146501.30,619771.47,28091.34,69120.06,0.00,215663.27,1636864.52,233217.68,0.00,23148.71,107824.26
1926,1277127.78,2011.98,38409.05,94824.18,0.00,204527.48,1824492.25,170773.47,0.00,6351.75,116172.94
1927,1246931.77,8705.99,37813.60,107147.57,0.00,183325.32,1904383.21,199572.25,0.00,15765.32,126846.82
1928,1287956.01,29.11,35447.12,147287.70,0.00,145846.80,1635044.50,160170.41,0.00,25444.05,177953.79
1929,1354392.68,28413.73,29711.35,160374.85,0.00,170055.15,1222773.60,209820.76,0.00,104169.50,178374.61
1930,1265069.95,33740.52,25689.75,119586.88,0.00,166270.61,896436.45,230616.51,0.00,65013.78,192704.60
1931,816050.43,283375.42,22561.26,120389.34,0.00,178804.06,839211.06,252554.28,0.00,42744.54,183452.12
1932,687463.69,331415.16,25038.67,138936.95,0.00,191804.96,902394.86,242325.87,0.00,31797.45,208451.01
1933,130216.65,500485.85,25787.68,157690.88,0.00,195149.55,1035217.02,181466.85,0.00,39586.86,194749.17
1934,460764.99,308961.88,31194.80,154194.37,0.00,177046.76,1008020.91,161309.68,0.00,43865.72,194610.61
1935,747152.41,166824.71,33015.60,92828.88,0.00,172316.69,1212466.21,144411.83,0.00,34287.79,155580.90
1936,1157731.08,76697.50,33237.84,79111.86,0.00,243182.81,1332270.29,107532.68,0.00,27614.01,151253.47
1937,1093268.16,279274.86,33445.43,87599.45,0.00,213985.96,1235429.85,82720.06,0.00,59824.98,163346.19
1938,1004507.60,115961.97,65141.00,54076.84,0.00,164647.40,1457497.04,161077.03,0.00,82247.43,32699.96
1939,987254.86,123692.20,64277.50,61978.90,0.00,167418.41,1411528.00,164704.09,0.00,81944.34,40185.67
1940,981686.20,140522.84,60415.38,66120.51,0.00,166510.98,1420850.03,170191.82,0.00,83119.85,48301.24
1941,964631.53,140649.29,60376.14,68337.18,0.00,166383.56,1396581.38,171019.91,0.00,80951.60,57339.17
1942,958292.95,120999.45,58980.46,70840.67,0.00,165369.21,1398730.04,174439.59,0.00,80303.08,68466.80
1943,958548.86,89261.04,57509.95,102936.86,0.00,169567.69,1380802.49,167218.65,0.00,81932.16,80196.32
1944,950750.74,73085.35,56306.10,124427.85,0.00,170856.03,1403730.72,162832.95,0.00,78195.43,94863.08
1945,934075.62,97524.97,56717.94,139628.97,0.00,166517.45,1400507.61,158964.38,0.00,80831.55,109672.48
1946,946597.47,104586.62,57114.64,146441.50,0.00,169188.40,1364915.76,154004.63,0.00,77004.89,127738.59
1947,948946.82,94960.70,56283.29,134886.72,0.00,169327.24,1398054.52,143775.30,0.00,77482.15,148571.26
1948,942126.38,131377.17,55995.55,122452.66,0.00,171535.08,1407438.30,135996.32,0.00,76821.46,166062.50
1949,951811.54,130277.27,56612.60,106630.69,0.00,167613.07,1379447.39,135113.74,0.00,82788.57,192781.33
1950,955025.09,93506.32,55844.98,95355.77,0.00,169171.01,1413169.38,135677.38,0.00,81626.24,213581.62
1951,953684.42,109422.27,55960.81,87376.27,0.00,169904.53,1402225.22,127609.80,0.00,83270.62,245646.67
1952,945150.14,149659.72,54787.70,78161.60,0.00,170770.10,1385500.37,122641.12,0.00,84072.55,271306.43
1953,962218.01,135810.62,56134.68,83537.76,0.00,169876.08,1356505.40,119463.19,0.00,78441.40,299275.10
1954,971209.03,100782.13,55541.35,139997.69,0.00,169845.09,1380442.47,111572.09,0.00,80063.94,328928.72
1955,958940.53,127807.49,55497.63,183428.76,0.00,172727.30,1355009.79,105598.58,0.00,78914.18,345742.00
1956,952439.72,124274.59,54095.73,206113.18,0.00,173093.54,1398231.67,96210.82,0.00,78276.14,363226.51
1957,964877.95,112011.75,54334.52,217565.57,0.00,172663.81,1335317.84,86194.26,0.00,79040.95,385665.02
1958,950014.72,131529.01,54342.18,200994.24,0.00,172735.34,1310642.82,75322.22,0.00,75518.48,397628.03
1959,950833.62,127552.16,54611.20,181766.02,0.00,174085.21,1362868.49,65049.44,0.00,77810.71,413678.08
1960,957623.68,107709.91,55073.04,154912.10,0.00,172925.51,1344336.75,52751.88,0.00,78511.81,430908.99
1961,953911.68,131465.36,54228.45,137936.10,0.00,171086.39,1337924.32,44300.77,0.00,79077.89,439408.67
1962,948415.26,133915.85,54824.22,123586.63,0.00,169570.86,1319577.82,35948.88,0.00,79953.32,464646.13
1963,948899.21,119324.18,53986.35,110258.37,0.00,171552.76,1301845.76,30899.56,0.00,83628.95,481411.63
1964,956903.47,99749.83,54427.15,102858.20,0.00,172432.86,1316659.46,27986.23,0.00,80480.55,495923.80
1965,960140.20,107288.93,54961.92,94100.75,0.00,174527.80,1332685.68,23873.93,0.00,82849.92,523183.91
1966,960569.29,145934.17,54598.54,85505.46,0.00,174332.45,1346305.28,19847.88,0.00,82518.34,532860.18
1967,967795.47,142111.27,53826.93,91551.35,0.00,175241.87,1331185.84,16341.48,0.00,80797.96,554405.32
1968,981238.38,107348.95,55006.28,95148.71,0.00,174933.73,1353824.01,12829.14,0.00,80815.37,550994.69
1969,953983.09,119452.01,55171.99,97296.40,0.00,173637.30,1372961.04,9761.52,0.00,79806.10,562238.04
1970,960156.79,140028.07,55752.45,94969.51,0.00,174645.68,1376003.38,7810.34,0.00,85063.86,566686.29
1971,958511.19,123943.53,55603.62,86875.10,0.00,176068.65,1386234.80,6021.99,0.00,83513.33,582260.23
1972,957856.71,127287.34,55577.52,80792.82,0.00,170698.88,1413616.29,4752.16,0.00,82211.48,581516.61
1973,944013.28,149475.09,54739.06,71452.15,0.00,171727.61,1389919.39,5743.28,0.00,79693.85,582917.78
1974,944748.07,122107.04,55449.62,65936.92,0.00,169836.66,1374137.26,6292.82,0.00,80021.57,591069.27
1975,965987.54,96076.46,54568.48,61601.95,0.00,170024.67,1385366.04,4643.92,0.00,80226.55,589318.95
1976,958467.13,88681.64,54327.28,58304.39,0.00,172066.17,1358518.41,3042.91,0.00,82438.39,584346.84
1977,945342.65,90809.92,55007.01,52760.80,0.00,170875.87,1364915.57,1986.62,0.00,83427.91,593616.51
1978,936934.14,114430.34,54600.84,48575.27,0.00,174606.60,1409478.66,1538.54,0.00,82236.09,608216.64
1979,968368.14,123410.09,55681.10,43929.20,0.00,177095.09,1371014.31,1287.66,0.00,80861.49,607068.53
1980,953505.93,113452.45,54153.62,40232.82,0.00,177461.07,1327669.69,1070.92,0.00,83627.98,637700.94
1981,968504.51,109076.82,54168.41,36891.58,0.00,174733.50,1354028.55,979.06,0.00,84251.45,626145.76
1982,955413.15,114728.13,53894.77,35306.11,0.00,175618.61,1364880.69,1503.22,0.00,83277.03,629856.87
1983,953789.79,119963.01,53589.61,34652.69,0.00,178240.58,1351946.36,1597.21,0.00,83976.07,638285.36
1984,942427.62,120810.65,54901.49,35148.32,0.00,173784.47,1357949.87,987.52,0.00,83225.88,638896.75
1985,965540.20,132891.66,54238.63,34704.68,0.00,172572.62,1341210.04,640.38,0.00,87382.87,628602.28
1986,958390.20,128724.97,54560.89,34253.47,0.00,174024.49,1334140.88,592.22,0.00,88132.09,633381.14
1987,947877.06,108602.23,54173.31,34308.29,0.00,170800.82,1313981.31,582.30,0.00,86536.95,620558.20
1988,958085.18,114513.48,54227.94,39237.94,0.00,168872.66,1349921.31,480.70,0.00,86176.52,638413.24
1989,966649.97,145346.03,53794.94,65435.93,0.00,168244.77,1358074.03,354.80,0.00,85824.45,628807.71
1990,955281.46,128206.10,53589.18,83531.88,0.00,166963.11,1350578.39,291.22,0.00,91507.52,636126.37
1991,949657.58,122105.36,54921.32,97597.01,0.00,164843.50,1363640.41,483.81,0.00,92604.64,624664.71
1992,966700.08,129631.40,53799.58,104567.87,0.00,165278.65,1376621.63,759.49,0.00,89835.51,626662.81
1993,953932.79,127078.43,54371.04,102425.94,0.00,168358.16,1390690.51,1100.26,0.00,93651.96,639130.56
