,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
Blue_whiting,0,0,2.15e-10,0,0,0,3.85e-12,0,0,2.07e-09,0
Capelin,2.99e-09,0,0,1.59e-09,2.39e-09,0,3.05e-08,3.53e-10,0,0,6.33e-10
Green_halibut,0,0,0,0,0,0,1.99e-10,0,0,0,0
Haddock,0,0,0,7.29e-14,0,0,2.39e-10,0,0,8.7e-11,2.43e-11
Long_rough_dab,0,0,0,1.92e-10,0,0,5.44e-10,0,0,0,0
Mackerel,0,0,3.63e-11,0,0,0,0,0,0,0,0
North_atl_cod,0,0,7.03e-10,5.79e-10,3.04e-10,0,9.95e-11,0,0,2.77e-10,1.61e-10
Norwegian_ssh,4.66e-12,0,1.54e-10,8.69e-10,2.02e-10,0,2.68e-11,0,0,0,3.57e-10
Polar_cod,0,0,0,0,1.39e-10,0,1.32e-10,0,0,0,0
Redfish,4.64e-09,0,5.69e-10,0,0,0,1.32e-11,0,0,0,0
Saithe,0,0,0,0,0,0,0,0,0,1.21e-10,0
