,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
Blue_whiting,0,0,4.1925e-10,0,0,0,7.5075e-12,0,0,4.0365e-09,0
Capelin,5.8305e-09,0,0,3.1005e-09,4.6605e-09,0,5.9475e-08,6.8835e-10,0,0,1.23435e-09
Green_halibut,0,0,0,0,0,0,3.8805e-10,0,0,0,0
Haddock,0,0,0,1.42155e-13,0,0,4.6605e-10,0,0,1.6965e-10,4.7385e-11
Long_rough_dab,0,0,0,3.744e-10,0,0,1.0608e-09,0,0,0,0
Mackerel,0,0,7.0785e-11,0,0,0,0,0,0,0,0
North_atl_cod,0,0,1.37085e-09,1.12905e-09,5.928e-10,0,1.94025e-10,0,0,5.4015e-10,3.1395e-10
Norwegian_ssh,9.087e-12,0,3.003e-10,1.69455e-09,3.939e-10,0,5.226e-11,0,0,0,6.9615e-10
Polar_cod,0,0,0,0,2.7105e-10,0,2.574e-10,0,0,0,0
Redfish,9.048e-09,0,1.10955e-09,0,0,0,2.574e-11,0,0,0,0
Saithe,0,0,0,0,0,0,0,0,0,2.3595e-10,0
