"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
1,1175091.7766079,1887085.90905127,110926.866189296,219409.423429491,126059.393630384,531040.130640103,1615415.74175423,586997.770964049,305090.734817123,1040077.31277847,573793.138446968
2,1585099.66697369,2490374.68636528,192068.564085778,323114.782615679,188971.880049575,799843.30229082,2222934.63991248,738899.302144295,297176.950219352,1277730.49245256,1043474.5292886
3,2770014.24262023,2679666.10908561,249535.344276008,393903.397634318,281727.277334206,1409433.04288378,2884328.27333328,995462.357711513,418271.991786436,1276245.25797292,1186086.38227259
4,4817779.4804775,1761979.81400417,401605.132064547,434149.362464948,302114.181777228,1753495.24979685,3889234.71394858,893277.392898684,457038.087422589,1288797.80530414,1711474.40434384
5,5631633.61807713,1820401.29116196,426507.660150121,502531.318533853,299102.685347119,1954881.06298562,3895056.09172404,1169032.4053421,601907.301590681,1279210.88403722,2173711.25719419
6,6986609.9375207,1144492.34552141,574811.231125868,626281.378803606,350056.475113534,2797382.94573821,3910868.07846372,1310448.84814222,581181.502859065,1304785.43491058,3205599.06887369
7,7738513.59914411,1465394.5690782,854158.06869124,460547.961790512,385463.161853591,2925306.62236997,5060299.58373881,1393496.04755044,750239.196775901,1921434.2536708,4302708.1304219
8,9288219.21653617,2491643.74643301,792423.369873045,532781.313771282,477920.995676788,3911063.23391454,5587988.45044015,1298530.92797095,832996.312636364,1360248.68016878,5172941.91988296
9,7980611.41076323,2747090.57048941,970339.370513986,438708.971946435,520397.521283901,3460371.3146708,7292986.65521135,1681896.6434384,903921.590035908,1653082.88336755,4602751.91037713
10,11407235.3958178,2943152.08570813,968539.839024209,520917.012562402,449214.326823444,4447341.24098532,5815820.45707366,1783492.06639456,964330.941746106,1924688.2212006,6830777.35096996
11,10481453.691521,2614100.06361728,1051889.28903808,527073.253852898,513567.370058621,4244276.93875884,6576863.06982915,2010087.69843156,1005330.23678089,1951141.85704464,7636265.56645802
12,12806163.8106697,2885652.25258482,983015.391025861,532950.199568376,553607.350648573,5054479.94231837,7770087.48809246,2135983.08522482,1463002.96953482,2230296.8706419,8615406.68263626
13,13456756.5860927,3371196.34203383,1031932.26083565,509897.130294002,628583.452946891,4959734.78302883,7521164.35900971,1967199.01599198,1330764.19177962,2153899.95818922,10072455.7606951
14,13423794.8237514,3594479.53690727,1019550.64080791,515448.056790861,751705.509672503,6037410.43907548,7997864.94159348,2356558.05639135,1412288.07283922,2271172.29867606,9434952.742509
15,11326681.9035413,2733780.31582117,1020916.58148656,463414.323538154,717205.831485657,5757778.99988848,6840544.75874849,2180725.4562693,1390401.93447326,2623208.54153715,9207179.25355135
16,9729316.76069702,2212865.49906048,982895.988439714,299030.451946923,936187.943947006,4127096.56972085,4882327.36685397,1843758.71560414,1506632.61992802,2780970.35817043,7694831.45582421
17,8283020.97324512,4279709.08323648,974108.219104106,248316.249441109,798498.744766369,4605501.58648915,6253575.96811221,1836208.79614858,1910195.64280884,2928772.32702339,8221410.53771674
18,9001725.93678782,2956664.72594342,1104722.92409059,221828.849820712,867375.793718163,4763642.21136317,4306380.2970872,1759153.18361353,2131680.66565764,2599504.59954353,5960612.16182349
19,7155072.51980786,3699729.33166044,1025974.38669635,127045.744007462,876543.934806013,4472084.06894019,4279723.71373192,1921557.24305047,2170187.5712388,2104009.87878481,4718073.82712693
20,7853856.91772597,4410618.84617506,1383313.4152583,113584.935296362,1136421.23779795,5266197.24379476,4102617.77004127,1921895.16929754,2176100.4537759,2777536.6642374,3935554.73153592
21,5359892.18645881,4163286.32171432,1151772.46174926,99334.0580004179,1058166.46422889,4498398.21648034,3543257.9897829,2477971.85934595,2718842.15617262,2651949.0163151,3492006.1385279
22,6029866.81253698,4011371.74314466,1215786.61560079,79380.7172305438,1135727.5231642,4632448.61485775,3880009.14415454,2056200.51017873,2292240.78474281,2405136.25046172,2432277.03250045
23,5433803.46042823,4242282.75988068,1330892.20856491,74902.5721198044,1230257.48452433,4668686.22381011,4706205.72024971,2605836.95841731,2499577.76792558,2690163.47796759,2318765.22116298
24,5934118.03213906,4141531.8150773,1185638.29348272,78090.0987821929,1060482.77991491,4958095.85127824,4219268.3820101,2665320.94724829,2805462.66470039,2478614.81259893,1823754.52014735
25,5521409.28484775,3059891.32087834,1212966.73336188,65552.2188713722,1209203.00686352,5385504.4836622,3926747.41487307,2725608.05209501,3023675.52743264,2662454.9148178,1468763.28419114
26,5354747.7717072,3066853.03484124,1299277.43365284,79389.7054066614,1277458.6668222,4944106.42612581,3845755.15767891,3701549.03539048,3526526.0150754,3365534.02786397,856651.535858642
27,5224853.70396132,2405851.94606919,1268169.2782561,93235.2375111636,1419938.67925945,4613962.1301556,3764881.90732096,3137227.51049148,2893548.82019243,3014195.49086084,784148.036141049
28,6507077.92615376,2385195.58827529,1315860.19421793,129693.853631961,1216874.40048335,4793459.18355462,3807772.64955827,3964467.82190484,4173640.4680122,2348303.25261591,813736.600626945
29,4902876.17452075,1983461.07621615,1148785.27722502,138556.820741123,1488156.26166547,5016092.24657641,4047388.61786183,3821658.9957853,3357380.96584845,2752422.4979111,534333.686381163
30,5010093.55844514,2346273.62741698,1245560.89247981,146715.516053925,1196086.92571018,4570406.80940906,4933431.2129187,3348819.19058206,3449202.02416437,2916898.33116899,493946.225294849
31,4418329.60950371,3636812.69645652,1092493.31512591,109597.631861183,1729196.68871389,4677430.65087421,3688479.76118649,5153852.80694807,2923792.56687242,2602993.30239886,428903.742356946
32,4887676.80021345,3090946.55451246,1152812.43536919,96180.0161748608,1712962.62729888,4673651.79796432,3962650.90741777,3592485.48564405,3691222.65943741,3297299.8096916,444874.816270968
33,4541535.12709884,3158393.04291904,1163693.119265,56647.9807248033,1671440.90374686,4905534.47645974,4685083.04602854,4000753.46022333,3483627.45773692,3069859.20985763,346661.880435483
34,3881298.03759712,3273421.07659295,1190394.48773433,112769.466801752,1314211.59101944,5694775.58415732,4406821.41329009,5099765.10694489,3735490.54568451,3352761.48521481,327061.321308705
35,5733892.73102458,4497452.16480673,1310066.12283133,451063.880524676,1638479.89026066,4689352.53749644,4803988.56073186,3795843.44833269,3116161.6812611,2987584.31625991,233099.073084332
36,4712014.641534,4138690.87667618,1017310.92788467,520774.845356489,1510191.66002232,5157187.7664717,5284581.99051123,4240499.23126191,3557500.13758804,3178735.87740476,266621.061037683
37,5553658.54212143,3381191.4545354,1203523.63842169,536439.771789906,1645979.53489665,5224788.39077502,5539322.98509211,4426239.99211274,3691810.49105134,3013510.9068579,275232.74616081
38,5451589.0584798,4818339.31571102,1118014.61628974,611563.229318215,1753296.17348657,4877269.22741885,5122792.13913323,4376902.40333776,3100603.882152,2807096.59257214,299900.572400108
39,6081984.81473139,6350762.79946178,1154524.59035254,636131.632599241,1761960.80388698,4755214.71587131,5223558.77031682,4342524.2542869,3585582.16604366,3242516.29882299,316673.380216197
40,7195378.7723353,6096126.98494034,1083841.61496208,348491.247473047,1686866.22895667,3961194.86504766,4643404.54326858,3505055.38248084,3401493.97930564,2583552.14334984,337217.013111921
41,6732108.38932495,4409297.12953795,1076417.8870617,262197.131256622,1444019.86138748,3958725.64499301,4335677.46728634,3358195.76268735,4120866.99802961,2955798.71509013,283654.211580981
42,6739127.61654097,3535783.0303289,1187609.30352353,213508.212927472,1585328.11857875,4432591.84523123,4314781.95409453,2755977.406768,4245763.53917369,3381521.43125028,377706.754409175
43,6704946.27705593,4511605.66764006,1093780.03926049,176787.646866853,1724420.49009911,4259479.04904105,4206974.63316996,2276277.27703,4221013.12430089,3040421.87074966,468876.707824353
44,6814017.69715408,4242982.05352456,1162830.24650271,198299.089522291,1805237.02070259,4497928.31764819,3877312.36361786,2130670.25692645,4451821.61623004,3151137.75230759,463281.398719054
45,6269595.7641621,3007132.59220557,1070051.0141785,222535.46940131,1620527.41163579,3732009.09431657,4557088.07504323,2488123.57797477,4176543.828968,3326870.47120227,453680.4685261
46,6221726.03160388,4000809.12109049,1035410.31998916,249268.947300902,1818873.11604137,5156012.41390508,5066263.63232424,2365469.81012667,4099772.47810212,3632414.22493451,547529.622138161
47,7121311.34415294,5808957.86073227,1285818.98405414,247114.372636133,1587920.85165861,4395961.99195207,4161677.70823205,1641321.61729963,3988512.25649981,3285065.32453251,610763.653327272
48,5799258.23873228,4497273.70803251,1004049.17963061,290574.471382848,1650999.64126145,4675523.75684576,4282141.58460566,1781466.74884161,4023464.73412113,3574881.02116617,605982.425166184
49,5612364.99568203,4289419.67315148,1211704.74834487,328923.831182776,1657954.8015722,4090742.00135468,4197953.11769682,1598858.66692355,4058446.04077242,2849896.75014031,766468.188128512
50,4684198.20066605,6072218.01868335,1206548.53886468,523053.611409099,1485976.43873192,4368540.34422744,4163374.06010253,1363424.99090797,3557912.30619947,3132906.79640823,774008.589661688
51,5136203.51278773,5055017.36889459,1266582.50926268,501307.779071905,1701053.33999906,4053596.52334996,4396232.09261915,1551923.98987283,4261947.90193133,2880865.69651476,692112.758598804
52,5140412.97310803,5202932.49778781,1077043.4281427,742749.518591478,1360913.12607481,4578662.834638,5140553.99930125,1348461.33069655,4104258.03487121,2946295.84664186,636500.319318513
53,4527530.34866243,3628352.60791391,1281368.23653755,751024.30774725,1308657.5231817,4596814.75090239,4995435.38816594,1583262.97038093,4161432.35688038,3095462.48288138,814757.693610449
54,4605012.05513943,4391107.73434538,1206337.57794319,958280.298476301,1407239.03990862,5428425.95824535,5663338.54542271,1459500.93077635,3925597.7937834,3429087.6426072,709484.898686601
55,5699027.64309645,4953210.04286515,951215.052524772,551446.797016687,1598758.86843592,4122316.7561601,5224629.8768485,1517999.74365839,4069605.27447949,3241584.40495134,751915.907124336
56,5806851.8157157,4095010.80402426,1287818.77871971,529383.042574428,1493556.72676267,4726233.38467052,6601395.02097122,1128863.38157035,3634099.91635982,3519060.10756298,710665.930936328
57,7335717.61487479,3200682.6708298,928694.286247535,343162.334208151,1863055.85310172,4602482.94161886,5485468.9756268,1484030.12685594,3799718.13457423,3417603.37954432,652672.244733784
58,6895626.27801592,4729671.35957069,1141767.02213296,323946.155437812,1539732.50297339,6066523.4774492,5589744.39680994,1448651.21642164,3623061.18543914,3237189.30613907,751686.60918129
59,7205917.66689674,4098613.9944901,1106921.80828003,340225.944460828,1728069.03462389,4811686.09201734,4490797.75983054,1798545.60669833,4045245.28258401,2910328.6050901,729458.876220032
60,8357333.13740288,3738777.44003091,1029648.15904485,368303.745131052,1980660.79773506,4658269.55004619,5933192.28511685,1626418.93942394,3693153.19418996,2739379.0407802,982461.996672298
61,7058340.11480145,4681093.53380431,1177672.5585112,409046.150078794,1405781.06876916,5136847.51683595,4946829.10639158,1622147.25174115,5879367.35493718,2619648.55551289,1021883.61208626
62,6949664.59181843,6003271.01531756,1073394.62747235,462794.099832574,1485232.05274856,5656127.47080376,5502262.04926293,1749208.83275156,4100568.71463306,3022542.97206951,1385149.58392878
63,6624041.38896363,5331219.2219134,903714.73294647,449282.809874872,1530721.61963549,4528695.62012559,5311957.58689826,1998262.44086712,4350263.04846326,3076596.14569746,1319395.06775616
64,7504137.28374534,3730279.82613336,1168477.48277263,434961.215489358,1428260.65468397,4816636.61735152,5392329.0618917,1580795.64059458,4046568.8792547,3195824.93856268,1763420.26675138
65,6794469.9555744,3198724.34230256,1013812.22101507,772093.304401575,1684711.20182925,6073019.34708143,5829811.14530552,2017782.0835786,4039584.87921829,3584640.14752135,1934888.91397524
66,5979819.63538876,2358900.13733283,906104.095864022,847028.318522276,1714927.73674364,4757505.31149714,6591142.4743267,1897401.59561369,4307134.73067106,3354746.06581164,2359159.62034495
67,6660774.57461339,4180882.22046897,916844.480781416,965389.287117498,1495247.79848568,4550002.36351047,5738765.73304648,1642622.44758662,3676526.3039491,2845380.22771381,2827605.58405555
68,7471104.39639303,4029746.42020835,951701.31463655,893940.342934331,1712794.99517058,4634918.63156553,4932070.60010374,1274595.89410543,4033860.78533819,2923500.14651152,2769134.9692602
69,7844730.22586659,3344064.92833103,1011429.11740484,1007215.41057502,1559770.49426062,5253611.3169523,5852651.53452228,1618434.23152042,4407105.36804219,3500723.65983703,3621269.41249805
70,6705834.86777062,5627473.54805653,966792.786760052,749492.363752246,1676527.1089763,4967531.21218205,5881007.39968657,1520337.36375249,4353511.10655671,2853437.96720586,3982257.67868533
71,6274325.52155503,3997998.17683543,806324.47107712,695855.853369936,1651184.38747662,4492476.34451585,5094861.68311871,1742777.84733201,4548482.77499664,2941821.62933883,4919290.63505772
72,6519749.77298333,3058686.81093477,885350.168664323,656861.081617251,1483971.70321729,4891106.76201994,5005718.18936471,1486023.61692261,4625970.89330499,2905967.41213415,4246106.90296694
73,6007143.19889355,3543927.74242617,744563.686151374,482573.214018874,1579884.12824524,4319459.55906823,5551897.68728283,1255382.59315872,3843331.80390221,3632389.67055408,7277343.9181489
74,6325005.06227067,5486852.59521281,871259.487628763,512412.812817748,1612741.79824999,4672294.04794053,5996839.36599508,1414601.04068357,4341390.45060157,2751522.24357043,6229801.41235017
75,5927952.70820703,4755800.89101441,1003194.00292794,573767.841260821,1528642.97487773,5574582.20252768,5722788.95495728,1408236.71854387,4856310.5234192,2853664.39119012,6867135.95475575
76,7755031.05147014,3767519.24565893,869476.925835697,1131435.95975289,1762842.98439565,4632886.53382103,4442446.79534778,886663.06822494,5487570.90673526,2851605.26535853,7983697.14516997
77,6608714.84566077,4879225.3736412,955498.656260289,1526912.50089134,1397083.5862116,4684632.94446219,5133532.12043942,1029966.14051998,4285166.25734448,2938420.23271678,9838998.68346873
78,7274489.80498862,4656382.6944534,890494.230813977,1599344.04658739,1684535.64971894,4521907.5765068,5514528.02572992,1117592.44088894,4609734.5364925,2953450.79119987,9191264.93431281
79,6254891.4158695,4083769.99789012,833889.996475928,1448252.14976075,1260988.19567052,5232555.0678557,6121027.59184377,839828.867515244,4895080.09359244,3098468.01498087,8881486.82600547
80,5836394.8741022,5147474.42853885,917346.545981971,1357397.75016541,1820500.97584345,4885778.88083542,6328850.57848547,1013586.97220243,5139246.19932262,2865518.90866211,10375227.206969
81,7460387.02304086,4049795.63751755,953851.500783496,1152617.59289819,1359227.85746535,4661598.92628775,5109325.69171701,667508.786354699,4462355.20749214,2795893.07665887,8797724.87398698
82,6270292.51912658,4042987.45314748,1003386.88466256,922627.574605957,1733568.05854264,4625370.97043124,5435863.07335509,482410.866906403,4168859.75433913,2768882.53346358,11813436.1307856
83,6473389.29884284,5259898.94977215,795189.458222907,1042689.64622858,1509887.0753839,5050937.77300877,4829758.34616601,566117.666514816,4812999.90409024,3374143.18197832,10942143.738414
84,6083537.94955185,4463346.89034982,813099.403733876,808061.950907349,1675857.73494064,4876659.07767756,4950619.73631002,306322.631299363,4885597.20625955,2440950.54753209,10551278.2093224
85,7060648.30276382,4350549.84687801,956632.950600993,769792.510540122,1452857.67105642,5146901.47708864,4995950.14431598,301385.938041691,5093338.92667283,2473894.03488636,12596010.6068353
86,6994402.12763195,3595531.00145096,856903.529259383,661535.369044064,1480886.00866855,4809804.98206795,4276123.42267202,289073.291463007,4100527.26739262,3109429.31794111,13069047.8529022
87,7183887.89855812,3591196.95203622,937539.554297477,592115.994124494,1341680.75856144,5606798.32304764,4483670.88598965,307205.649874655,4963941.71416572,3676873.82695436,13640563.4429397
88,6246115.16026627,6534555.5149538,806405.628223601,493748.24543475,1748275.04676039,5055336.20767984,5188961.69244004,232862.417770826,4871064.53522511,3835050.47079209,11668292.1158023
89,6653961.8306453,4417066.42987813,709212.449280514,673293.285339425,1694568.66226793,4331201.51593036,4637232.23767954,218674.546247782,4513022.47989868,2858758.62228607,13302225.5525921
