"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
1,677.070119944315,3389.87340110166,53.797323387965,107.1610178406,0,0,591.891307156973,291.378476473267,0,187.488849937616,204.847175910569
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,2002423.97321223,280856.041881709,20070.7116661128,150160.976426573,0,215726.119451441,3014396.97149103,22443.2850113418,0,60735.7195887624,2599732.93879591
16,1729822.75041434,264976.113786226,20282.8550632812,111272.689937658,0,213356.111763339,2462665.856751,21978.7151102791,0,63357.0797118194,2206162.82239928
17,1521415.62699292,337771.909659915,19906.3258070433,82228.8984890743,0,212536.54637023,2187870.15052824,21215.6476364024,0,65981.4944102478,1818121.40691649
18,1362607.39043053,311245.673917962,20515.4609926242,62065.6843793475,0,208058.692967265,2003011.91985461,21107.5736859624,0,64826.8558750607,1523522.73148764
19,1246283.38200941,324166.246030049,20973.4204880578,46714.4223936859,0,206686.452802082,1951166.03883719,20672.3745870299,0,67563.7797622727,1260859.96322954
20,1167625.64990236,428313.855895777,20614.3517080051,36920.1256125509,0,206288.181357359,1897921.67837885,21364.8069148056,0,67904.2411877582,1085082.4987627
21,1080462.5852138,454789.104509742,20703.1869071345,29559.6751724048,0,203680.963975935,1892795.55770985,21985.3657996206,0,68958.8268134851,919151.928707504
