,species,r,maxBiomass,maxBiomassYear,CP,K_est,KtoB,B0
1,Blue_whiting,0.78,9290152.383,107,-2878528.346,23386741.79,2.517369019,18580304.77
2,Capelin,1.3,6534555.515,88,-2117489.085,26215262.41,4.011789685,13069111.03
3,Green_halibut,0.32,1330892.209,23,-145253.9151,3902182.44,2.932004872,2661784.417
4,Haddock,0.9,1599344.047,78,-151091.8968,15236487.53,9.526710381,3198688.093
5,Long_rough_dab,0.32,2036464.318,143,-251282.757,5281298.162,2.593366412,4072928.637
6,Mackerel,0.39,6073019.347,65,-1315514.036,10933982.61,1.800419525,12146038.69
7,North_atl_cod,0.23,7447543.387,105,-1786792.666,7139695.673,0.958664529,14895086.77
8,Norwegian_ssh,0.3,5153852.807,31,-1561367.321,5103640.874,0.990257399,10307705.61
9,Polar_cod,0.577,5879367.355,61,-1778798.64,11212698.48,1.907126703,11758734.71
10,Redfish,0.25,4870889.713,123,-1175799.245,5044560.504,1.035654839,9741779.427
11,Saithe,0.51,20694639.45,142,-4399081.114,49650532.85,2.399197772,41389278.89
,,,,,,,,
,,,,,Total K,163107083.3,,
,,,,,Prey K,53465584.38,,
,,,,,Pred K,109641498.9,,
