year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1,1080462.585,454789.1045,20703.18691,29559.67517,0,203680.964,1892795.558,21985.3658,0,68958.82681,919151.9287
2,1050685.333,382228.0848,21095.35143,25756.75042,0,203667.1397,1866905.539,23100.47646,0,69183.66123,769977.0613
3,1029621.558,394745.7866,20898.86055,24302.95522,0,203104.0961,1796813.214,25450.12053,0,70342.77024,640978.8976
4,1025874.33,424595.9343,21644.66999,22359.36619,0,198753.6889,1857104.621,26484.72797,0,72492.60277,531937.0322
5,1456203.822,1322147.147,32345.79975,18258.2021,0,158545.5318,1733569.4,14650.96302,0,44686.19717,662963.3685
6,1025685.117,1376640.046,31840.9184,14891.78574,0,163966.9992,2107105.678,16641.98984,0,47135.80478,515273.3371
7,1014273.897,1517303.83,31888.56643,18380.22246,0,151943.3221,1648961.769,17988.00842,0,45754.19318,370725.1373
8,1068530.65,872824.719,31187.28492,29721.03479,0,148892.2603,1484274.072,19290.70663,0,45711.86552,357250.1241
9,1098066.898,892096.9539,30853.83605,34747.89966,0,138328.4817,1467753.098,20509.28087,0,45918.75399,217776.4164
10,1361064.346,496082.5446,30900.39053,44281.20015,0,152024.4282,1579113.592,21613.97783,0,45702.54954,125572.0596
11,1115600.304,1576.762696,30056.41709,59787.98362,0,172579.0966,2131581.858,22337.60692,0,44687.1191,154310.0363
12,1067912,0,31549.84914,34847.01783,0,170505.5624,2137523.3,182581.658,0,45176.50985,162489.5796
13,1208141.555,0,30979.92091,21809.33441,0,155306.3544,1638001.333,128839.2622,0,45595.87468,154980.5207
14,1003795.989,0,30517.54708,19717.29254,0,171594.9152,1061621.526,100166.692,0,48097.68836,111211.6918
15,545286.4926,709957.5687,30553.67743,73734.35912,0,183770.1768,1082606.662,96477.42514,0,47390.99862,90545.87806
16,698680.3571,698413.4072,32619.97801,130629.4381,0,230977.5875,1509256.245,112466.9949,0,47513.80896,80570.69586
17,763692.7165,426409.3553,35963.12539,128993.2918,0,272651.92,1363926.726,196619.9077,0,47614.16617,87939.16408
18,769582.0363,1189.226985,23624.15884,173473.1984,0,300698.8604,2032395.835,296583.8904,0,98284.85379,90978.20341
19,906652.5305,0,27780.01105,154787.7848,0,279589.9027,2207840.515,462731.5442,0,86783.78237,87165.08672
20,1003743.002,0,32030.89988,172746.1481,0,218760.8416,2217012.937,580251.8134,0,68411.26072,78873.57715
21,747001.5513,10280.09967,20295.82834,137956.5076,0,224181.5889,2342243.614,636600.3534,0,36777.09264,70537.80462
22,1083067.655,13100.78384,25363.05471,89142.93271,0,260925.0386,2166255.268,567959.5022,0,35146.08928,74305.78956
23,1120918.314,216818.9828,41594.13029,59563.67367,0,221975.4144,1923846.329,535694.4044,0,56860.04321,78868.32476
24,1154323.816,646316.1566,29612.21264,57506.35943,0,257267.2329,1686941.373,462115.2471,0,40711.21541,78886.26797
25,1172886.555,427271.7431,34079.15152,60107.48964,0,278750.5644,1434038.351,281844.8596,0,34907.38965,82625.84406
26,883622.6021,670509.86,27088.13561,61403.77284,0,275125.1934,1608806.648,273179.6164,0,65381.63041,95106.37746
27,1146501.305,619771.4704,28091.34077,69120.05767,0,215663.2671,1636864.518,233217.6825,0,23148.70593,107824.2573
28,1277127.78,2011.98142,38409.04703,94824.17805,0,204527.4791,1824492.255,170773.468,0,6351.753296,116172.9363
29,1246931.77,8705.9857,37813.59911,107147.5699,0,183325.3228,1904383.205,199572.2538,0,15765.31987,126846.8168
30,1287956.011,29.11072139,35447.11554,147287.6972,0,145846.8013,1635044.497,160170.4147,0,25444.04578,177953.7852
31,1354392.676,28413.73065,29711.34615,160374.8483,0,170055.1534,1222773.598,209820.7636,0,104169.5017,178374.6116
32,1265069.95,33740.51978,25689.74793,119586.8846,0,166270.6069,896436.4509,230616.505,0,65013.77666,192704.6041
33,816050.431,283375.4174,22561.25952,120389.3362,0,178804.0559,839211.059,252554.2792,0,42744.54144,183452.1203
