,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder
1900,365787.900000,50022.150000,87204.600000,73078.600000,285000.000000,17731.400000,85624.200000,337593.000000,206550.000000,214117.600000
1901,358439.024500,26582.867250,75260.804220,87372.920320,313133.433000,25338.977110,102243.786600,350907.711800,222478.563900,192390.980100
1902,349294.101400,16094.194570,74328.771510,102679.043300,340846.126200,35617.182460,116214.988300,356137.051000,227059.826400,180706.481800
1903,339721.953700,10248.607630,76211.923530,118421.347800,367726.932100,49036.797840,128636.363400,357738.018800,226307.547500,173690.615300
1904,330156.645300,6701.166170,78942.221100,133914.015600,393347.879500,65740.194200,139883.947100,357640.925000,189019.122000,169231.993900
1905,320809.675000,4450.306928,81723.566220,148469.700800,417346.701200,85292.717280,150200.543600,356809.948300,160644.178900,166302.590100
1906,311828.793800,3874.143536,84154.805160,161520.251000,439459.413100,106371.464800,159683.506400,355732.272200,146491.538500,164337.333000
1907,303392.431800,3375.365593,85775.857350,172706.624200,459529.159800,126897.614000,168661.338800,354836.454800,134613.331000,163000.859800
1908,295558.900300,2944.163253,86793.808680,181907.785600,477493.761900,144710.648700,177052.865900,354086.759300,124484.404300,162083.717200
1909,288378.870800,2277.629120,87399.262890,189208.060700,493380.093700,158427.804300,184801.719600,353455.864300,121958.780700,161450.461000
1910,281863.272800,1768.488434,87841.614480,194828.064300,507281.975600,167858.701000,191753.844600,352860.160700,119487.258000,161011.378000
1911,276023.534300,1643.333485,88170.082800,199050.805500,519340.730800,173771.703900,197944.635100,352323.025200,117104.019800,160706.046700
1912,270857.153900,1529.647741,88329.678510,202164.299800,529723.211800,177232.712900,203525.402200,351909.123200,114891.090100,160493.298000
1913,266318.962200,1655.807308,88400.546340,204427.298100,538605.700200,179160.539700,208512.641400,351586.286000,118577.280100,160344.852300
1914,262367.032800,1793.556052,88344.648210,206054.744400,546165.925800,180171.618800,213015.719300,351379.649100,122144.685100,160241.173700
1915,245822.543300,1943.801951,88213.795140,207216.085300,525265.037600,180672.173200,217066.275200,333690.310800,125587.581600,160168.712500
1916,233224.752000,2165.420382,88477.503390,208040.188000,511717.686400,181367.693600,220700.763700,321565.085000,128902.438800,160118.045400
1917,223349.495000,2457.432201,88873.423470,208622.644700,502871.212800,182038.087200,223983.988700,312990.461600,132102.768000,160082.605600
1918,204272.138200,2824.834597,89259.824580,209033.141100,472010.776600,182608.514400,226978.816100,291161.034500,135203.786400,144049.550600
1919,169315.326900,3350.389072,89948.338830,209321.863300,474779.031000,183483.119900,229747.339400,290476.287900,138223.569700,119547.743800
1920,135797.884200,4044.680561,90581.546310,209524.647400,480698.296500,184280.222900,232385.420500,290041.218400,141204.177600,110683.037100
1921,105127.205000,4961.009855,91098.687090,209666.930300,489073.699900,185018.638500,234985.173700,289826.892400,144191.350600,87712.909520
1922,83500.723900,6165.954660,91421.596200,209766.692800,401388.962700,185693.125800,237654.585800,231855.558200,147246.355600,86444.431280
1923,80454.345160,7222.661380,92466.865650,209836.607200,386312.152800,187383.401600,240522.003200,219406.429600,150449.773100,85399.896560
1924,77760.781340,8546.609240,93053.081490,209885.586900,374515.535000,188530.441900,243492.227200,209913.563000,153750.153100,88805.234000
1925,71475.812490,10601.601880,93153.525120,209919.892100,346437.758800,189314.361400,246682.401700,192070.062600,157223.945400,91779.337840
1926,71134.962710,13327.473590,92834.622510,209943.915300,349295.162200,190105.315800,250426.302800,192121.123500,161092.779600,98930.209440
1927,70838.387660,16601.115660,91583.282940,209960.736200,351782.347500,180961.486000,254994.904700,192478.699400,165558.387000,105311.787400
1928,70592.472930,20444.944330,89501.649150,209972.513200,353942.028300,176322.569600,260574.874100,193160.861700,170784.242400,110844.910700
1929,70403.351260,24833.934200,86671.555260,188983.506800,355812.456700,173757.643900,267355.388200,194187.271300,176947.103600,115518.774200
1930,70698.691870,29938.486930,83954.973900,166309.938800,357427.503500,164066.215400,275506.792100,195573.711500,184224.126400,119377.366700
1931,71503.115160,35726.751720,81117.935220,151743.578600,358783.364900,159288.784900,285292.210900,197355.734700,192867.565200,122501.166500
1932,72650.686260,41914.724730,77688.052770,149197.846200,359875.407800,164688.133800,296954.055400,199562.738900,203137.208400,124989.203500
1933,73896.142680,47968.141540,73354.348470,142761.483900,360713.527200,167906.276100,310567.413700,202188.880700,215201.068100,126944.690000
1934,75319.499480,53594.599550,68639.192520,137915.448600,336076.524700,169751.174800,325878.347600,191013.018200,229010.799500,128465.323200
1935,76980.704310,59341.575600,63982.577460,134188.687800,316502.227500,162445.535400,342439.806800,182779.055400,244364.979400,129637.892900
1936,78837.738790,64810.489750,59295.399810,131277.044800,300559.719400,150297.499400,360172.501000,176714.218800,261282.786100,130536.147400
1937,80854.110680,63178.365900,54650.197290,128974.624600,287313.764500,158581.161800,378699.504700,172273.586300,279552.292000,131220.773400
1938,82890.287920,62125.932550,51599.734770,127136.805300,261759.562100,163907.252700,392476.854400,159763.962500,295096.111900,131740.545400
1939,84998.026610,62108.352350,49574.525940,125658.966200,241176.199300,175476.652900,402477.993600,149634.060800,308117.120400,132133.985600
1940,87164.055280,62697.925450,48054.793260,124463.596500,224188.634500,182837.251000,390018.503000,141337.283600,319290.486500,132431.125400
1941,83280.435380,63892.967500,46828.169550,123492.140900,209893.245200,187397.968600,381390.485500,134473.015900,329213.271500,132655.151200
1942,79894.144150,65654.166300,45719.204580,122699.649400,197953.915700,190189.990600,375877.022400,128764.682300,338357.025700,132823.834400
1943,76924.178930,67711.136300,44576.034120,122051.155500,187837.823000,191889.440500,373022.057000,124012.958600,330239.898500,132950.722400
1944,74304.697010,76643.452600,43344.622770,121519.159700,179162.745100,193004.113700,353773.489100,120053.202600,325268.623800,133046.100600
1945,72088.098100,84858.305950,40877.550510,121081.836600,171647.029100,193950.983400,346114.924400,117237.260900,327238.514300,133117.754200
1946,70202.411780,91765.750450,37599.302040,120721.732900,165074.319200,194615.297900,363263.160500,132910.515500,317897.420900,133171.561800
1947,68577.780560,94830.775850,33823.678140,120424.803500,184040.448600,194511.810700,400589.197100,156236.733400,314870.602600,133211.955600
1948,67033.757790,93620.966700,30228.889260,120179.686800,203782.426600,193590.870900,434875.203200,181077.160900,314167.516600,133242.272400
1949,70195.109840,89584.344600,27331.272270,119977.152000,224018.119900,192246.460600,461728.243900,206197.128700,296947.866800,133265.022100
