,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder,
1900,731576,100044.4,174409.2,146157.2,570000,35462.8,171248.4,675186,413100,428236,3445420
1901,583176.4571,56284.47429,146498.4327,127853.0275,766685.8078,30003.19177,117010.9881,707062.3011,458780.4617,325664.1154,3319019.257
1902,667706.5089,35149.82684,123679.2562,183628.3656,670749.2076,92389.69348,164429.1653,664359.2163,700329.016,350300.3928,3652720.649
1903,632426.0501,15247.17524,221335.2226,307750.017,642557.2555,129895.2804,184405.9361,838826.8053,541332.825,228239.0039,3742015.571
1904,504812.313,10843.72749,128506.8292,315771.7867,688535.7498,118721.0824,210214.2959,743620.9293,290972.0928,315106.2917,3327105.098
1905,769040.2849,5311.788206,163025.3764,524428.9529,882827.7208,122834.8227,241730.9587,620522.3602,290882.1695,309453.4521,3930057.886
1906,564211.0068,6665.937648,168250.024,300206.4549,745024.7501,251942.8731,243736.0703,743299.2985,327529.5674,424060.17,3774926.153
1907,454059.3451,3954.508873,148329.6129,462245.6067,924665.3567,243223.263,255329.0482,784533.5645,229451.8044,355727.8926,3861520.003
1908,578056.4609,7316.159134,164728.6619,395759.7035,945426.2291,322763.372,351485.4072,766268.6486,278243.8461,306287.3724,4116335.861
1909,424852.9201,3063.903495,167883.3826,462416.8763,933502.5608,325751.1352,357633.5374,735385.0456,265214.4685,282381.5894,3958085.42
1910,580006.6275,3054.904301,131180.8497,504355.6533,1087264.273,377319.5441,529294.928,584027.384,201836.3873,280132.2993,4278472.851
1911,758130.0799,8038.892231,168587.7845,402514.6178,947810.5429,355874.9943,323235.1393,719099.1482,182461.3066,431046.5633,4296799.069
1912,425712.3348,1613.637724,226804.383,292551.5987,1014899.511,360599.0928,366614.4325,740143.6268,227584.2521,243159.1286,3899681.998
1913,534525.8956,1712.389734,160694.3701,515414.6644,1328425.638,330366.3311,346775.2776,694851.4248,203988.8256,334409.1537,4451163.971
1914,445130.265,2381.333828,139509.4954,453927.3483,1221652.951,358598.6247,400308.8505,795890.595,159023.0634,241214.1555,4217636.683
1915,378094.8334,2597.179398,239328.2326,358498.4038,958940.1782,292502.7633,369885.063,640276.0871,259493.2203,266392.0598,3766008.021
1916,461285.2492,4251.453673,144811.8643,383040.9059,902966.3068,381153.1964,626939.5607,586073.7476,232618.2705,255782.3136,3978922.869
1917,347510.1611,34131.36332,154555.2382,404252.8453,795725.1989,326619.3988,463054.4938,580195.1389,244061.9681,278448.7687,3628554.575
1918,325800.9725,3575.308429,198530.8316,362698.9872,987191.1905,352222.5987,554474.2614,547228.9012,258814.7437,349616.8659,3940154.661
1919,267704.2228,5152.134881,196180.5739,370024.7712,1157532.831,310720.1938,345901.4034,610134.7797,271543.3241,166726.256,3701620.491
1920,199825.0446,8144.684214,149733.3874,469983.7764,887211.5837,369568.7805,433697.7844,590082.8373,359862.38,207212.9371,3675323.195
1921,296344.1225,6760.776953,190323.5774,348238.6003,1250542.826,343230.346,405537.7945,491391.4737,211281.819,97307.40805,3640958.745
1922,135960.3344,19425.23909,166237.0712,478986.4913,806722.145,324194.4007,509867.3165,486063.4801,348832.0274,115427.5712,3391716.077
1923,188005.4222,13808.12916,145546.5947,337154.4381,718364.6532,344322.3753,385639.9894,353789.5409,240785.5044,146373.7725,2873790.42
1924,95373.99646,12612.25248,175871.8548,392886.3925,895084.2647,411368.7795,734057.3896,550226.5167,230352.9249,158213.3722,3656047.744
1925,98079.60905,21090.85034,178814.7845,343779.5474,629450.9414,384843.9808,340513.0643,286230.4042,235362.3389,124115.7224,2642281.243
1926,223237.5011,30530.04307,165424.902,381044.7104,923877.5592,338033.6132,397681.5935,503514.4312,334390.658,185710.1283,3483445.14
1927,103457.2956,26366.45957,174893.2824,403379.21,755417.2343,401875.4747,462120.5028,310916.3345,264187.4281,407711.6272,3310324.849
1928,89652.48945,32552.21557,160804.2216,484297.2645,676929.0932,339659.8658,597952.8213,286423.3241,316342.0455,225021.5988,3209634.94
1929,75680.47283,47208.17027,161798.9792,357926.0411,662940.5821,313619.9909,683339.7233,314880.4624,381658.4967,215361.2622,3214414.181
1930,95385.90275,52107.05087,132471.7239,317866.4624,665879.8619,367645.1789,626706.1996,375242.5646,291662.5273,176094.733,3101062.205
1931,83546.93474,67773.25798,151068.474,292813.1095,686534.0787,382977.6007,411921.3383,351544.3642,436796.409,177810.8502,3042786.417
1932,171039.6386,85651.40329,116656.2866,295059.8003,596067.1404,338154.6096,451793.0372,313211.2742,333005.7671,262273.9989,2962912.956
1933,89338.29588,83220.70033,200857.5352,366377.231,697741.8944,233386.9719,534411.1708,525862.0416,481132.4055,230697.9827,3443026.229
1934,140815.1188,103665.1459,154975.1702,319767.9302,652598.1838,361119.1722,802670.4248,439008.9218,421672.4633,350692.587,3746985.118
1935,228926.5203,127618.0874,142137.2986,227603.2233,654478.6914,314278.427,726639.5439,305747.9769,461886.1877,328817.0818,3518133.038
1936,105835.8406,135120.6154,104819.2244,227112.875,502673.6789,266388.5526,772341.411,404222.8812,535283.7379,275182.1756,3328980.993
1937,250844.063,123011.1944,198636.7258,353457.1932,647352.9627,307719.7976,983519.1351,336028.4863,626859.0997,353256.9956,4180685.653
1938,128703.2792,123331.4196,79190.27687,290474.6986,484977.4486,308053.2947,996621.7173,295313.3171,621216.1945,226395.7259,3554277.372
1939,233569.5254,134452.506,92793.61364,300672.3344,460191.3399,347306.4843,804472.4579,313729.3223,592190.8859,302209.2528,3581587.723
1940,115684.82,116253.6859,65327.07349,330619.5235,445116.3223,500750.3831,667404.8134,305201.304,588324.9973,255231.4232,3389914.346
1941,175263.9026,120343.2133,172250.215,190533.2844,807141.2749,398503.4511,799450.165,356266.0427,591295.9095,315581.6309,3926629.089
1942,170355.8882,130721.4253,134194.4397,242548.6199,329636.1354,351108.2276,634336.8462,204926.3798,705679.5301,320841.9273,3224349.419
1943,101322.6388,126330.9125,60677.0511,208395.3068,323225.4208,336099.7315,707392.7087,361373.4494,655258.4376,236379.4352,3116455.092
1944,230170.687,155483.2758,77756.53108,318941.9442,382327.1045,391081.3917,557820.7866,199713.0517,621727.7824,228433.0785,3163455.633
1945,110192.8863,163997.9597,61925.9999,209076.7095,232887.4839,326904.6674,840048.7806,263160.6519,581146.3399,368801.4134,3158142.893
1946,79241.36107,195523.7219,82536.08074,215764.657,381685.9103,408381.0374,807697.578,200319.545,671743.2329,299703.4894,3342596.614
1947,92922.02782,182337.6307,85223.12509,232341.9384,351791.2212,367743.7042,626142.9644,256942.6153,707909.7266,209928.7304,3113283.684
1948,200593.6279,183746.3407,88367.63437,189396.6692,368477.6538,386295.2637,877845.8811,319305.7161,622168.0624,204917.5217,3441114.371
1949,90695.82352,178939.8346,84840.67787,322450.0993,382798.0249,368968.3389,930342.3613,521464.3942,477391.1918,335651.5474,3693542.294
