,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder
1900,81286.200000,500221.500000,58136.400000,20879.599980,60000.000060,8865.700000,14270.700000,90024.800110,48599.999950,53529.400050
1901,79653.116550,265828.672500,50173.869480,24963.691500,65922.828050,12669.488560,17040.631100,93575.389910,52347.897340,48097.745050
1902,77620.911410,160941.945700,49552.514350,29336.869480,71757.079240,17808.591230,19369.164710,94969.880330,53425.841470,45176.620480
1903,75493.767490,102486.076300,50807.949020,33834.670770,77416.196280,24518.398920,21439.393900,95396.805070,93185.460700,43422.653850
1904,73368.143400,67011.661740,52628.147390,38261.147280,82810.079940,32870.097100,23313.991180,95370.913400,77831.403170,42307.998500
1905,71291.038880,26701.841590,54482.377490,42419.914500,87862.463420,42646.358650,25033.423940,95149.319580,56697.945560,41575.647530
1906,69295.287510,23244.861250,56103.203440,46148.643120,92517.771190,53185.732400,26613.917730,94861.939280,51702.895990,41084.333290
1907,67420.540390,20252.193590,57183.904900,49344.749750,96742.981020,63448.807030,28110.223130,94623.054660,47510.587460,40750.214970
1908,65679.755610,23553.306070,57862.539130,51973.653030,100525.002500,72355.324340,29508.810970,94423.135850,36613.060140,40520.929310
1909,64084.193490,18221.033000,58266.175260,54059.445890,103869.493400,79213.902170,30800.286600,94254.897170,35870.229670,40362.615270
1910,62636.282840,8842.442190,58561.076320,55665.161200,106796.205400,83929.350530,31958.974110,94096.042880,35143.311220,40252.844520
1911,61338.563180,8216.667448,58780.055190,56871.658700,109334.890700,86885.851960,32990.772510,93952.806750,34442.358790,40176.511690
1912,60190.478640,3059.295492,58886.452340,57761.228490,111520.676200,88616.356460,33920.900360,93842.432900,27033.197650,40123.324510
1913,59181.991600,3311.614626,58933.697560,58407.799450,113390.673700,89580.269870,34752.106890,93756.342950,27900.536480,40086.213100
1914,72879.731330,3587.112117,58896.432130,58872.784100,143727.875000,90085.809390,35502.619890,117126.549500,28739.925870,40060.293430
1915,68284.039790,3887.603917,58809.196760,59204.595780,138227.641300,90336.086620,36177.712550,111230.103400,29550.019190,40042.178140
1916,64784.653320,4330.840782,58985.002250,59440.053700,134662.548900,90683.846820,36783.460620,107188.361500,30329.985590,40029.511360
1917,74449.831640,4914.864420,59248.948970,59606.469890,158801.435700,91019.043590,37330.664780,125196.184600,31083.004240,60030.977130
1918,90787.616970,5649.669215,59506.549710,59723.754590,124213.362100,91304.257180,37829.802690,97053.678090,31812.655620,72024.775190
1919,84657.663440,6700.778168,59965.559210,59806.246650,124941.850200,91741.559930,38291.223250,96825.429240,32523.192870,52302.137820
1920,75443.268990,8089.361149,60387.697510,59864.184940,126499.551600,92140.111430,38730.903420,96680.406090,33224.512390,69176.898180
1921,58404.002720,9922.019740,60732.458030,59904.837230,231666.489400,92509.319250,39164.195630,173896.135600,33927.376620,38374.397900
1922,32472.503730,30829.773400,60947.730780,59933.340770,147880.144100,92846.562910,39609.097650,108199.260600,34646.201330,37819.438670
1923,31287.800890,36113.307000,61644.577080,59953.316320,142325.530000,93691.700800,40087.000550,102389.667200,35399.946640,32024.961260
1924,34560.347250,34186.437040,62035.387630,59967.310520,157690.751400,94265.220930,40582.037860,111953.900200,36176.506640,33301.962790
1925,26207.797910,42406.407630,62102.350050,59977.112010,120341.537200,94657.180680,41113.733630,84510.827560,36993.869520,28681.043090
1926,26082.819650,53309.894450,61889.748300,59983.975790,121334.108900,118815.822400,41737.717140,84533.294360,37904.183470,30915.690470
1927,25974.075460,66404.462750,61055.521930,59988.781760,122198.078600,113100.928800,42499.150790,84690.627750,38954.914610,32909.933580
1928,25883.906730,81779.777460,59667.766070,89988.219890,122948.283500,110201.606000,43429.145690,84990.779170,40184.527650,34639.034600
1929,25814.562120,99335.736940,57781.036800,94491.753510,123598.011300,130318.232900,44559.231380,85442.399380,41634.612660,36099.616940
1930,25922.853680,119753.947900,55969.982570,83154.969440,124159.027600,123049.661500,45917.798690,86052.433090,43346.853330,37305.427120
1931,26217.808880,142907.007100,54078.623450,65032.962180,124630.011000,99555.490540,47548.701830,86836.523270,45380.603640,38281.614540
1932,26638.584950,167658.899100,51792.035140,70336.127590,125009.352300,102930.083600,49492.342580,87807.605090,47796.990280,39059.126100
1933,27095.252300,191872.566300,48902.898940,67301.842470,151879.380000,104941.422600,51761.235650,107834.069700,50635.545500,39670.215640
1934,27617.149790,214378.398300,45759.461640,65017.282960,141505.905200,127313.381100,54313.057950,101873.609700,53884.894070,40145.413490
1935,28226.258230,237366.302600,42655.051610,63260.381410,133264.095900,142139.843500,57073.301170,97482.162890,57497.642260,40511.841520
1936,28907.170870,388862.938600,39530.266510,61887.749710,126551.460900,93935.937140,60028.750170,94247.583380,61478.302680,40792.546080
1937,29646.507240,379070.195500,36433.464840,60802.323020,136095.994000,99113.226080,63116.584130,103364.151900,65777.009940,41006.491710
1938,30393.105560,372755.595300,34399.823160,59935.922510,123991.371700,81953.626360,65412.809070,95858.377620,69434.379340,41168.920460
1939,31165.943080,372650.114100,33049.683950,59239.226890,114241.357700,87738.326430,83849.582000,89780.436500,72498.146040,41291.870500
