,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder,
1900,162572.4,1000443,116272.8,41759.2,120000,17731.4,28541.4,180049.6,97200,107058.8,1871628.6
1901,159306.2331,531657.345,100347.739,49927.38304,131845.656,25338.97712,34081.2622,187150.7796,104695.7948,96195.49004,1420546.66
1902,155241.8228,321883.8914,99105.02868,58673.739,143514.1584,35617.18246,38738.32942,189939.7605,106851.683,90353.24092,1239918.837
1903,150987.535,204972.1526,101615.898,67669.3416,154832.3925,49036.79784,42878.7878,190793.61,186370.9215,86845.30764,1236002.744
1904,146736.2868,134023.3234,105256.2948,76522.2946,165620.1598,65740.1942,46627.98236,190741.8267,155662.8063,84615.99696,1171547.166
1905,142582.0778,53403.68314,108964.755,84839.82904,175724.9268,85292.71728,50066.84788,190298.6391,113395.891,83151.29504,1087720.662
1906,138590.575,46489.72244,112206.4069,92297.28628,185035.5424,106371.4648,53227.83548,189723.8785,103405.7919,82168.66652,1109517.17
1907,134841.0808,40504.38712,114367.8098,98689.49952,193485.962,126897.614,56220.44628,189246.1092,95021.17482,81500.42988,1130774.514
1908,131359.5112,47106.61204,115725.0782,103947.3061,201050.005,144710.6487,59017.62196,188846.2716,73226.1202,81041.8586,1146031.034
1909,128168.387,36442.06592,116532.3505,108118.8918,207738.9868,158427.8043,61600.5732,188509.7943,71740.45926,80725.23052,1158004.544
1910,125272.5657,17684.88434,117122.1526,111330.3224,213592.4108,167858.701,63917.9482,188192.0857,70286.62236,80505.689,1155763.382
1911,122677.1264,16433.33485,117560.1104,113743.3174,218669.7814,173771.7039,65981.54504,187905.6134,68884.7175,80353.02336,1165980.274
1912,120380.9573,6118.590964,117772.9047,115522.457,223041.3524,177232.7129,67841.80072,187684.8657,54066.39536,80246.649,1149908.686
1913,118363.9832,6623.22923,117867.3951,116815.5989,226781.3474,179160.5397,69504.2138,187512.6858,55801.073,80172.42616,1158602.492
1914,145759.4627,7174.224208,117792.8643,117745.5682,287455.7504,180171.6188,71005.23976,234253.0994,57479.8518,80120.58684,1298958.266
1915,136568.0796,7775.207804,117618.3935,118409.1916,276455.283,180672.1732,72355.42508,222460.2072,59100.0384,80084.35624,1271498.356
1916,129569.3067,8661.681528,117970.0045,118880.1074,269325.0982,181367.6936,73566.92124,214376.7234,60659.9712,80059.02268,1254436.531
1917,148899.6633,9829.728802,118497.898,119212.9398,317602.8712,182038.0872,74661.32956,250392.3692,62166.00848,120061.9542,1403362.85
1918,181575.2339,11299.33839,119013.0994,119447.5092,248426.7246,182608.5144,75659.60536,194107.3564,63625.31124,144049.5506,1339812.243
1919,169315.3269,13401.55629,119931.1184,119612.4933,249883.7006,183483.1199,76582.44648,193650.8586,65046.38572,104604.2758,1295511.282
1920,150886.538,16178.72224,120775.3951,119728.3699,252999.1034,184280.2229,77461.80684,193360.8123,66449.02476,138353.7964,1320473.792
1921,116808.0055,19844.03942,121464.9161,119809.6745,463332.9788,185018.6385,78328.39124,347792.2708,67854.7532,76748.79584,1597002.464
1922,64945.00748,61659.5466,121895.4616,119866.6816,295760.2884,185693.1258,79218.19528,216398.521,69292.40264,75638.87738,1290368.108
1923,62575.60178,72226.6138,123289.1542,119906.6327,284651.06,187383.4016,80174.00108,204779.3342,70799.89324,64049.92242,1269835.615
1924,69120.69452,68372.87392,124070.7753,119934.6211,315381.5032,188530.4419,81164.07572,223907.8004,72353.01324,66603.9255,1329439.725
1925,52415.59582,84812.81504,124204.7002,119954.2241,240683.0746,189314.3614,82227.46724,169021.6551,73987.739,57362.08616,1193983.719
1926,52165.63932,106619.7887,123779.4967,119967.9516,242668.218,237631.6448,83475.43428,169066.5887,75808.36688,61831.3809,1273014.51
1927,51948.15094,132808.9252,122111.0439,119977.5636,244396.1572,226201.8576,84998.30156,169381.2555,77909.82916,65819.8671,1295552.952
