SpeName,Guild,InitBiomass,InitBiomassMin,InitBiomassMax,GrowthRate,GrowthRateMin,GrowthRateMax,GrowthRateCovarCoeff,SpeciesK,SpeciesKMin,SpeciesKMax,SpeciesKCovarCoeff,SurveyQ,SurveyQMin,SurveyQMax,Catchability,CatchabilityMin,CatchabilityMax
Atlantic cod,Groundfish,406431.000000,365787.900000,447074.100000,0.45,0.405000,0.495000,1,750000.000000,675000.000000,825000.000000,0.000000,1.2,1.080000,1.320000,1,0.900000,1.100000
Atlantic herring,Small pelagics,1000443.000000,900398.700000,1100487.300000,0.95,0.855000,1.045000,1,4750000.000000,4275000.000000,5225000.000000,0.000000,0.85,0.765000,0.935000,1,0.900000,1.100000
Atlantic mackerel,Small pelagics,290682.000000,261613.800000,319750.200000,0.7,0.630000,0.770000,1,700000.000000,630000.000000,770000.000000,0.000000,0.05,0.045000,0.055000,1,0.900000,1.100000
Goosefish,Groundfish,104398.000000,93958.200000,114837.800000,0.5,0.450000,0.550000,1,500000.000000,450000.000000,550000.000000,0.000000,0.9,0.810000,0.990000,1,0.900000,1.100000
Haddock,Groundfish,300000.000000,270000.000000,330000.000000,0.5,0.450000,0.550000,1,1250000.000000,1125000.000000,1375000.000000,0.000000,0.95,0.855000,1.045000,1,0.900000,1.100000
Silver hake,Groundfish,44328.500000,39895.650000,48761.350000,0.75,0.675000,0.825000,1,750000.000000,675000.000000,825000.000000,0.000000,0.75,0.675000,0.825000,1,0.900000,1.100000
Spiny dogfish,Elasmobranchs,71353.500000,64218.150000,78488.850000,0.35,0.315000,0.385000,1,466667.000000,420000.300000,513333.700000,0.000000,0.8,0.720000,0.880000,1,0.900000,1.100000
Summer flounder,Flatfish,450124.000000,405111.600000,495136.400000,0.475,0.427500,0.522500,1,805085.000000,724576.500000,885593.500000,0.000000,0.3,0.270000,0.330000,1,0.900000,1.100000
Winter skate,Elasmobranchs,243000.000000,218700.000000,267300.000000,0.3,0.270000,0.330000,1,600000.000000,540000.000000,660000.000000,0.000000,0.4,0.360000,0.440000,1,0.900000,1.100000
Yellowtail flounder,Flatfish,267647.000000,240882.300000,294411.700000,0.5,0.450000,0.550000,1,333333.000000,299999.700000,366666.300000,0.000000,0.7,0.630000,0.770000,1,0.900000,1.100000
